nick,civ,wins,losses,games,winrate
ninjavarier,Goths,1,2,3,0.33
ninjavarier,Gurjaras,2,0,2,1.00
ninjavarier,Hindustanis,1,3,4,0.25
ninjavarier,Huns,1,2,3,0.33
ninjavarier,Inca,4,0,4,1.00
ninjavarier,Italians,1,2,3,0.33
ninjavarier,Japanese,2,2,4,0.50
ninjavarier,Koreans,2,3,5,0.40
ninjavarier,Lithuanians,2,0,2,1.00
ninjavarier,Magyars,5,4,9,0.56
ninjavarier,Malay,0,5,5,0.00
ninjavarier,Malians,3,1,4,0.75
ninjavarier,Maya,3,0,3,1.00
ninjavarier,Mongols,2,1,3,0.67
ninjavarier,Persians,1,1,2,0.50
ninjavarier,Poles,1,3,4,0.25
ninjavarier,Portuguese,0,2,2,0.00
ninjavarier,Romans,1,1,2,0.50
ninjavarier,Saracens,2,1,3,0.67
ninjavarier,Sicilians,1,2,3,0.33
ninjavarier,Slavs,1,3,4,0.25
ninjavarier,Spanish,0,4,4,0.00
ninjavarier,Tatars,0,1,1,0.00
ninjavarier,Teutons,2,3,5,0.40
ninjavarier,Turks,1,2,3,0.33
ninjavarier,Vietnamese,3,3,6,0.50
ninjavarier,Vikings,3,1,4,0.75
ninjavarier,Wu,0,1,1,0.00
rusher,Bengalis,1,0,1,1.00
rusher,Celts,1,1,2,0.50
rusher,Ethiopians,0,1,1,0.00
rusher,Hindustanis,0,1,1,0.00
rusher,Magyars,0,1,1,0.00
rusher,Mongols,2,0,2,1.00
rusher,Persians,2,0,2,1.00
rusher,Poles,1,0,1,1.00
rusher,Saracens,0,1,1,0.00
rusher,Tatars,0,1,1,0.00
Shadeslayer,Armenians,5,9,14,0.36
Shadeslayer,Aztecs,8,7,15,0.53
Shadeslayer,Bengalis,10,6,16,0.62
Shadeslayer,Berbers,3,3,6,0.50
Shadeslayer,Bohemians,7,9,16,0.44
Shadeslayer,Britons,6,6,12,0.50
Shadeslayer,Bulgarians,4,11,15,0.27
Shadeslayer,Burgundians,4,4,8,0.50
Shadeslayer,Burmese,9,6,15,0.60
Shadeslayer,Byzantines,5,9,14,0.36
Shadeslayer,Celts,6,8,14,0.43
Shadeslayer,Chinese,11,13,24,0.46
Shadeslayer,Cumans,4,7,11,0.36
Shadeslayer,Dravidians,4,4,8,0.50
Shadeslayer,Ethiopians,3,7,10,0.30
Shadeslayer,Franks,7,8,15,0.47
Shadeslayer,Georgians,13,2,15,0.87
Shadeslayer,Goths,6,6,12,0.50
Shadeslayer,Gurjaras,7,6,13,0.54
Shadeslayer,Hindustanis,9,9,18,0.50
Shadeslayer,Huns,5,5,10,0.50
Shadeslayer,Inca,7,7,14,0.50
Shadeslayer,Italians,8,6,14,0.57
Shadeslayer,Japanese,5,6,11,0.45
Shadeslayer,Jurchens,2,4,6,0.33
Shadeslayer,Khitans,3,6,9,0.33
Shadeslayer,Khmer,9,5,14,0.64
Shadeslayer,Koreans,8,10,18,0.44
Shadeslayer,Lithuanians,6,10,16,0.38
Shadeslayer,Magyars,5,6,11,0.45
Shadeslayer,Malay,4,14,18,0.22
Shadeslayer,Malians,5,8,13,0.38
Shadeslayer,Mapuche,0,1,1,0.00
Shadeslayer,Maya,6,8,14,0.43
Shadeslayer,Mongols,3,6,9,0.33
Shadeslayer,Persians,7,3,10,0.70
Shadeslayer,Poles,11,6,17,0.65
Shadeslayer,Portuguese,12,7,19,0.63
Shadeslayer,Romans,11,4,15,0.73
Shadeslayer,Saracens,6,5,11,0.55
Shadeslayer,Shu,1,5,6,0.17
Shadeslayer,Sicilians,13,6,19,0.68
Shadeslayer,Slavs,14,8,22,0.64
Shadeslayer,Spanish,6,12,18,0.33
Shadeslayer,Tatars,4,5,9,0.44
Shadeslayer,Teutons,4,6,10,0.40
Shadeslayer,Tupi,1,1,2,0.50
Shadeslayer,Turks,3,7,10,0.30
Shadeslayer,Vietnamese,8,0,8,1.00
Shadeslayer,Vikings,5,5,10,0.50
Shadeslayer,Wei,2,1,3,0.67
Shadeslayer,Wu,3,4,7,0.43
stylishsteam,Armenians,5,5,10,0.50
stylishsteam,Aztecs,2,6,8,0.25
stylishsteam,Bengalis,4,3,7,0.57
stylishsteam,Berbers,3,1,4,0.75
stylishsteam,Bohemians,3,2,5,0.60
stylishsteam,Britons,2,6,8,0.25
stylishsteam,Bulgarians,2,1,3,0.67
stylishsteam,Burgundians,2,2,4,0.50
stylishsteam,Burmese,3,4,7,0.43
stylishsteam,Byzantines,3,5,8,0.38
stylishsteam,Celts,1,2,3,0.33
stylishsteam,Chinese,3,5,8,0.38
stylishsteam,Cumans,3,2,5,0.60
stylishsteam,Dravidians,2,4,6,0.33
stylishsteam,Ethiopians,4,5,9,0.44
stylishsteam,Franks,3,1,4,0.75
stylishsteam,Georgians,2,8,10,0.20
stylishsteam,Goths,2,4,6,0.33
stylishsteam,Gurjaras,3,2,5,0.60
stylishsteam,Hindustanis,5,3,8,0.62
stylishsteam,Huns,3,3,6,0.50
stylishsteam,Inca,1,6,7,0.14
stylishsteam,Italians,3,3,6,0.50
stylishsteam,Japanese,4,4,8,0.50
stylishsteam,Jurchens,0,2,2,0.00
stylishsteam,Khitans,0,1,1,0.00
stylishsteam,Khmer,5,3,8,0.62
stylishsteam,Koreans,3,2,5,0.60
stylishsteam,Lithuanians,8,1,9,0.89
stylishsteam,Magyars,4,3,7,0.57
stylishsteam,Malay,4,3,7,0.57
stylishsteam,Malians,6,3,9,0.67
stylishsteam,Maya,1,7,8,0.12
stylishsteam,Mongols,2,6,8,0.25
stylishsteam,Persians,5,2,7,0.71
